Marca;CodigoProduto;Saldo
10;41110231007959    ;0
10;41110231007962    ;0
10;41110231008302    ;0
10;41110231008306    ;0
10;41110231008406    ;0
10;41110231008407    ;0
10;41110231008409    ;0
10;41110231008420    ;0
10;41110231008424    ;0
10;41110231008429    ;0
10;41110231008440    ;0
10;41110231008442    ;0
10;41110231008443    ;0
10;41110231008450    ;0
10;41110231011589    ;0
10;41110231014860    ;0
10;41110271007731    ;0
10;41110271008302    ;0
10;41110271008310    ;0
10;41110271008403    ;0
10;41110271008406    ;0
10;41110271008407    ;0
10;41110271008408    ;0
10;41110271008409    ;0
10;41110271008420    ;0
10;41110271008423    ;0
10;41110271008424    ;0
10;41110271008429    ;0
10;41110271008430    ;0
10;41110271008440    ;0
10;41110271008441    ;0
10;41110271008442    ;0
10;41110271008443    ;0
10;41110271008450    ;0
10;41110271011156    ;0
10;41110271014860    ;0
10;41110271015396    ;0
10;41110271015399    ;0
10;41110301008406    ;0
10;41120231002105    ;0
10;41120231002140    ;0
10;41120231006249    ;0
10;41120231008348    ;0
10;41120231009883    ;0
10;41120231014076    ;0
10;41120231015389    ;0
10;41120231015391    ;0
10;41120231015395    ;0
10;41120241002140    ;0
10;41120241004337    ;0
10;41120241006249    ;0
10;41120261002140    ;0
10;41120261004337    ;0
10;41120261006249    ;0
10;41120261007957    ;0
10;41120271002105    ;0
10;41120271002140    ;0
10;41120271002141    ;0
10;41120271002153    ;0
10;41120271002919    ;0
10;41120271004330    ;0
10;41120271004337    ;0
10;41120271006249    ;0
10;41120271006256    ;0
10;41120271006329    ;0
10;41120271007079    ;0
10;41120271007312    ;0
10;41120271007340    ;0
10;41120271007393    ;0
10;41120271008010    ;0
10;41120271008348    ;0
10;41120271009883    ;0
10;41120271009924    ;0
10;41120271011418    ;0
10;41120271011832    ;0
10;41120271011833    ;0
10;41120271012200    ;0
10;41120271013136    ;0
10;41120271013137    ;0
10;41120271013364    ;0
10;41120271013365    ;0
10;41120271013368    ;0
10;41120271014076    ;0
10;41120271015318    ;0
10;41120271015335    ;0
10;41120271015358    ;540
10;41120271015389    ;0
10;41120271015391    ;0
10;41120271015393    ;0
10;41120271015395    ;0
10;41120271015400    ;0
10;41120301004337    ;594
10;41120301006249    ;2010
10;41120301006329    ;351
10;41120301006413    ;451
10;41120301012200    ;188
10;41120301012257    ;700
10;41120301015400    ;410
10;41130811014878    ;0
10;41130811014952    ;0
10;41130811015151    ;0
