Marca;CodigoProduto;Saldo
10;41150214013057    ;0
10;41150214013136    ;260
10;41150214013137    ;1640
10;41150214013364    ;900
10;41150214013365    ;160
10;41150214013368    ;640
10;41150214014076    ;6420
10;41150214014878    ;0
10;41150214014952    ;39360
10;41150214015151    ;10420
10;41150214015318    ;880
10;41150214015335    ;500
10;41150214015358    ;440
10;41150214015391    ;2140
10;41150214015393    ;320
10;41150214015395    ;260
10;41150214015396    ;40
10;41150214015399    ;100
10;41150214015401    ;2200
10;41150214015438    ;12280
10;41150214015876    ;2840
10;41150234002105    ;40
10;41150234002140    ;1220
10;41150234002919    ;280
10;41150234006249    ;20
10;41150234007079    ;320
10;41150234007312    ;100
10;41150234007340    ;180
10;41150234008310    ;20
10;41150234008348    ;0
10;41150234008403    ;340
10;41150234008420    ;220
10;41150234008423    ;980
10;41150234008424    ;660
10;41150234008425    ;300
10;41150234008440    ;520
10;41150234008442    ;1620
10;41150234008443    ;1940
10;41150234008450    ;160
10;41150234009883    ;400
10;41150234011832    ;180
10;41150234011833    ;180
10;41150234012716    ;100
10;41150234012717    ;0
10;41150234013020    ;100
10;41150234013036    ;40
10;41150234013136    ;360
10;41150234013137    ;240
10;41150234013365    ;0
10;41150234014076    ;1200
10;41150234014952    ;3620
10;41150234015151    ;1540
10;41150234015318    ;340
10;41150234015335    ;480
10;41150234015358    ;340
10;41150234015391    ;820
10;41150234015393    ;240
10;41150234015395    ;220
10;41150234015396    ;160
10;41150234015399    ;320
10;41150234015401    ;1340
10;41150234015438    ;1580
10;41150234015876    ;340
10;41150314002140    ;0
10;41150314002141    ;0
10;41150314002919    ;0
10;41150314007079    ;0
10;41150314007340    ;50
10;41150314008348    ;0
10;41150314008403    ;0
10;41150314008420    ;20
10;41150314008423    ;500
10;41150314008424    ;20
10;41150314008440    ;15
10;41150314008442    ;30
10;41150314008443    ;20
10;41150314013137    ;40
10;41150314013364    ;10
10;41150314013365    ;500
10;41150314014076    ;330
10;41150314014878    ;0
10;41150314014952    ;50
10;41150314015151    ;15
10;41150314015335    ;0
10;41150314015391    ;25
10;41150314015395    ;10
10;41150314015396    ;15
10;41150314015399    ;20
10;41150314015401    ;40
10;41150314015438    ;0
10;41150314015876    ;25
10;41150324002919    ;0
10;41150324007312    ;0
10;41150324007340    ;0
10;41150324008348    ;500
10;41150324008403    ;25
10;41150324008420    ;30
10;41150324008423    ;10
10;41150324008424    ;35
10;41150324008440    ;30
10;41150324008442    ;20
10;41150324008443    ;55
10;41150324009883    ;10
10;41150324011833    ;500
10;41150324012717    ;0
10;41150324013020    ;500
10;41150324013364    ;10
10;41150324013365    ;10
10;41150324014076    ;55
10;41150324014952    ;40
10;41150324015151    ;0
10;41150324015335    ;10
10;41150324015358    ;15
10;41150324015391    ;35
10;41150324015395    ;0
10;41150324015396    ;10
10;41150324015399    ;40
10;41150324015401    ;25
10;41150324015438    ;65
10;41150324015876    ;35
10;41150334002140    ;0
10;41150334002919    ;0
10;41150334006249    ;0
10;41150334007340    ;0
10;41150334008348    ;0
10;41150334008403    ;0
10;41150334008420    ;15
10;41150334008423    ;90
10;41150334008424    ;30
10;41150334008441    ;20
10;41150334008442    ;35
10;41150334008443    ;0
10;41150334008489    ;65
10;41150334009883    ;20
10;41150334011242    ;500
10;41150334011418    ;45
10;41150334011832    ;10
10;41150334012716    ;500
10;41150334013020    ;45
10;41150334013136    ;25
10;41150334013137    ;30
10;41150334013364    ;0
10;41150334013365    ;10
10;41150334014076    ;0
10;41150334014952    ;230
10;41150334015151    ;35
10;41150334015335    ;0
10;41150334015391    ;25
10;41150334015395    ;25
10;41150334015396    ;10
10;41150334015399    ;15
10;41150334015401    ;90
10;41150334015438    ;130
10;41150334015876    ;15
10;41150344002140    ;0
10;41150344002919    ;0
10;41150344007340    ;0
10;41150344008348    ;0
10;41150344008403    ;10
10;41150344008420    ;115
10;41150344008423    ;500
10;41150344008424    ;25
10;41150344008440    ;0
10;41150344008442    ;35
10;41150344008443    ;0
10;41150344009883    ;0
10;41150344011833    ;0
10;41150344012717    ;0
10;41150344013364    ;500
10;41150344013365    ;500
10;41150344014076    ;500
10;41150344014952    ;35
10;41150344015151    ;25
10;41150344015391    ;60
10;41150344015395    ;500
10;41150344015396    ;15
10;41150344015399    ;35
10;41150344015401    ;20
10;41150344015438    ;45
10;41150344015876    ;25
