;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
61;PE TOUCH GRIS POL 60X120 R;"Armazem
461,50";FBM0154021 ;;;;;;;;;;;;
62;INS WHITE STRIP MT 30X90,2 R;"Armazem
389,88";FBQ01AW011 ;;;;;;;;;;;;
63;INS PLIER BLACK MT 30X90,2 R;"Armazem
2641,41";FCG01AW161 ;;;;;;;;;;;;
64;INS PLIER SAGE MT 30X90,2 R;"Armazem
461,70";FCG01AW211 ; 24/05/2022 ; 1837,35 M2;;;;;;;;;;
65;PP BRICK PIEMONTE ROBLE 7,5X30;"Armazem
1008,78";FCK011P251 ;;;;;;;;;;;;
66;MOSAICO PIEMONTE ROBLE 25X45;"Armazem
713,32";FCK0148251 ;;;;;;;;;;;;
67;INS PIEMONTE MARFIL MT 30X90,2 R;"Armazem
1,08";FCK01AW011 ;;;;;;;;;;;;
68;PS PORTO 20X20;"Armazem
578,20";FCP01FY051 ;;;;;;;;;;;;
69;PP ALVOR NATURAL MT 30X120 R;"Armazem
25,56";FDS015N251 ; 15/05/2022 ; 33,02 M2;;;;;;;;;;
70;PP ALVOR NATURAL MT 16X120 R;"Armazem
875,52";FDS01AQ251 ; 05/05/2022 ; 38,02 M2;;;;;;;;;;
71;PP ALVOR NATURAL ABS 30X120 R;"Armazem
1557,74";FDS025N251 ; 31/08/2022 ; 1504,14 M2;;;;;;;;;;
72;PP ALVOR NATURAL ABS 16X120 R;"Armazem
673,92";FDS02AQ251 ;;;;;;;;;;;;
73;PE DUBAI ARENA MT 90X180 R;"Armazem
277,02";FE402ZF371 ;;;;;;;;;;;;
74;MALLA CONCEPT BROWN 30,1X30;"Armazem
847";FEG0130251 ;;;;;;;;;;;;
75;MALLA LUXE QUARTZ 23.1X18.7;"Armazem
341";FEH0125091 ;;;;;;;;;;;;
76;Não encontrado;;FEI01HD361 ;;;;;;;;;;;;
77;RV BRICK COLOR LIGHT BLUE 11X25;"Armazem
729,04";FEI02HD151 ;;;;;;;;;;;;
78;MALLA ETNA QUARTZ 29,4X29,4;"Armazem
385";FEJ012X331 ;;;;;;;;;;;;
79;INS LONDON GRAY MT 30X90,2 R;"Armazem
6,48";FFX01AW021 ;;;;;;;;;;;;
80;RV BLOCK GOLD BR 15,4X15,4;"Armazem
817,43";FGJ0139251 ;;;;;;;;;;;;
81;RV PURE WHITE MT 21,5X21,5;"Armazem
687,27";FGY01FY011 ;;;;;;;;;;;;
82;RV PURE HIGH GRAY MT 21,5X21,5;"Armazem
290,50";FGY01FY021 ;;;;;;;;;;;;
83;Não encontrado;;FGY01FY161 ;;;;;;;;;;;;
84;Não encontrado;;FGY01FY991 ;;;;;;;;;;;;
85;RV PURE LOW GRAY MT 21,5X21,5;"Armazem
402,27";FGY02FY021 ;;;;;;;;;;;;
86;RV PURE LOW BLACK MT 21,5X21,5;"Armazem
300,84";FGY02FY161 ;;;;;;;;;;;;
87;Não encontrado;;FGY02FY991 ;;;;;;;;;;;;
88;RV PURE GRAY MT 21,5X21,5;"Armazem
1371,75";FGY03FY021 ;;;;;;;;;;;;
89;Não encontrado;;FGY03FY161 ;;;;;;;;;;;;
90;RV PURE FLY GRAY MT 21,5X21,5;"Armazem
2,22";FGY04FY021 ;;;;;;;;;;;;
91;PS ZELLIGE BLUE MT 20X20;"Armazem
590,00";FHS01MB151 ;;;;;;;;;;;;
92;PS ZELLIGE TERRACOTA 20X20;"Armazem
1208,32";FHS01MB501 ;;;;;;;;;;;;
93;PS ZELLIGE BISCUIT MT 20X20;"Armazem
621,86";FHS01MBBI1 ;;;;;;;;;;;;
94;PS ZELLIGE DECOR BLUE MT 20X20;"Armazem
909,78";FHS02MB151 ;;;;;;;;;;;;
95;PSZELLIGE DECOR TERRACOTAMT20X20;"Armazem
631,30";FHS02MB501 ;;;;;;;;;;;;
96;PS ZELLIGE DECOR BISCUIT MT20X20;"Armazem
1504,50";FHS02MBBI1 ;;;;;;;;;;;;
